StationName,RouteNumbers,geometry
Ул. Ляпунова,А553; АМ4; АМ1; А111; АН11; АТ4,POINT (37.56658535 55.69980998)
Дворец труда профсоюзов,А553; АМ4; АМ1; А111; АН11; АТ4,POINT (37.57116571 55.7024521)
Ул. Акад. Зелинского,АМ4; АМ1; А111; АН11; АТ4,POINT (37.57252898 55.70380958)
"Ленинский просп., 34",А553; АМ4; АМ1; А111; АН11; АТ4,POINT (37.57846809 55.70639371)
Болотная площадь,АТ7; АМ1; АМ6; А144; АК; АН11; АТ4; АТ8,POINT (37.61447198 55.74339382)
Ул. Стасовой,А196; АМ4; АТ4; АМ1; А111; АН11; АТ7; АТ7к,POINT (37.58964424 55.71412922)
"Ленинский просп., 34",АМ4; АМ1; А111; АН11; АТ4,POINT (37.57784961 55.70664416)
Ул. Акад. Зелинского,А553; АМ4; АМ1; А111; АН11; АТ4,POINT (37.57357785 55.70377982)
Дворец труда профсоюзов,АМ4; АМ1; А111; АН11; АТ4,POINT (37.57065318 55.7026353)
Ул. Ляпунова,АМ4; АМ1; А111; АН11; АТ4,POINT (37.56548418 55.69978192)
Универмаг Москва,А144К; АМ4; АМ1; А111; А144; АН11; АТ4,POINT (37.56134317 55.69745359)
Университетский просп.,А144К; А119; А553; АМ4; АМ1; А144; АН11; А434; АТ4,POINT (37.55579141 55.69429086)
Молодежная ул.,А119; А553; АМ4; АМ1; АН11; А434; АТ4,POINT (37.5502253 55.69111125)
"Ленинский просп., 68",А119; А553; АМ4; АМ1; АН11; А434; АТ4,POINT (37.54724717 55.68942519)
Ломоносовский просп.,А144К; А553; АМ4; АМ1; А144; АН11,POINT (37.54419606 55.68751335)
Улица Строителей,А553; А113; АМ4; АМ1; А1; А153; АН11,POINT (37.53787215 55.68324517)
Центр детского творчества,А553; А113; АМ4; АМ1; А1; А153; АН11,POINT (37.53629455 55.68215664)
Ул. Крупской,А553; А113; АМ4; АМ1; А1; А153; АН11,POINT (37.53275324 55.67973235)
Ул. Марии Ульяновой,А144К; А553; А113; АМ4; АМ1; А1; А153; А144; АН11,POINT (37.52947253 55.67757962)
"Ленинский просп., 93",А553; А113; АМ4; АМ1; А1; А153; АН11,POINT (37.52635651 55.67575088)
Ул. Удальцова,А553; АП11; АМ4; А246; А144; АС17; АН11,POINT (37.51902873 55.67081923)
Киноклуб Эльдар,А553; А363; АП11; АМ4; А246; АС17; АН11; А661,POINT (37.51345958 55.6666987)
Улица Обручева,А553; АМ4; А144; АН11,POINT (37.50966258 55.66412514)
Ул. Миклухо-Маклая,АС13; А553; АМ4; А144; АН11,POINT (37.49718151 55.65606855)
"Ул. 26-ти Бакинских Комиссаров, 3",А718; А226; А699; А196; А250; А404; АМ4; А281; А374; А752; АН11; А261; А785,POINT (37.49042786 55.65808524)
Метро Юго-Западная,А226; А699; А196; АМ4; А281; А261; А785,POINT (37.4843318 55.66300243)
Ул. Бориса Галушкина,А834; А136; А56; А496; А93; А195; А536; АТ14; АТ76,POINT (37.64866336 55.82718694)
Беловежская ул. (пос.),А157К; АН2; А190; А157; А205; А231; А16; А825; А609; А300,POINT (37.39574884 55.70710206)
"Ельнинская ул., 14",А190; А464,POINT (37.42622208 55.73672023)
"Ельнинская ул., 20",А190; А464,POINT (37.4217878846 55.7389021148)
Метро Молодежная,А190; А660; А464,POINT (37.4183601401 55.7403468335)
"Ельнинская ул., 20",А190; А660; А464,POINT (37.4222662295 55.7384740083)
"Ельнинская ул., 14",А190; А660; А464,POINT (37.42544437 55.7369031)
Метро Кунцевская,А135; А190; А464; А575; А236,POINT (37.4447613 55.731238)
Ул. Багрицкого,А818; А1265к; А157К; А139; А103; АН2; А454; А190; А157; А231; А45; А612; А609; А610; А840,POINT (37.43814097 55.72160312)
Ул. Петра Алексеева,А157К; А139; А103; А818; АН2; А454; А190; А157; А231; А45; А612; А609; А610; А840,POINT (37.42942445 55.72090368)
Дворец спорта Крылья Советов,А818; А1265к; А157К; А139; А198; АН2; А454; А190; А157; А231; А609; А300; А840,POINT (37.40708389 55.71723927)
Вяземская ул.,А157К; АН2; А190; А157; А825; А300,POINT (37.40157398 55.71537301)
"Беловежская ул., 19",А157К; АН2; А190; А157; А825; А300,POINT (37.39427619 55.71423174)
Поликлиника,А157К; АН2; А190; А157; А825; А300,POINT (37.39335453 55.7086245)
Беловежская ул. (выс.),А157К; АН2; А190; А157; А825; А300,POINT (37.39422267 55.7080098)
Парк Святослава Федорова,АТ47,POINT (37.55490965 55.86269184)
"Бескудниковский пер. (к/ст, выс.)",АТ47,POINT (37.55860402 55.86388766)
Торговый центр,АМ10; АТ47,POINT (37.56204502 55.86165333)
Чертаново Южное,А674; А682; А28; А831; АН8,POINT (37.58834248 55.59672132)
Поликлиника,А674; А682; А28; А831; АН8,POINT (37.5888243878 55.5990608863)
ОВД Чертаново Южное,А674; А682; А28; А831; АН8,POINT (37.58917783 55.60054635)
"Чертановская улица, 53",А674; А682; А28; А831; АН8,POINT (37.58977667 55.60298674)
Метро Пражская,А682; А147; А831; А675,POINT (37.6029746265 55.6104613847)
Сквер Родная гавань,А682; А147; А831; А675,POINT (37.60167874 55.60771745)
"Кировоградская ул., 19",А682; А147; А831; А675,POINT (37.60048151 55.60523077)
Университет спорта и туризма,А682; А147; А675,POINT (37.59944008 55.60313383)
Техникум креативных индустрий,А682; А147; А675,POINT (37.59802895 55.60006929)
"Кировоградская ул., 25 - Российский Государственный Гуманитарный Университет",А682; А147; А675,POINT (37.59688613 55.59770849)
Чертаново Южное,А864; А147; А118; А831; АН8; А680; А819,POINT (37.58956229 55.59580645)
Чертаново Южное,А864; А147; А118; А831; АН8; А680; А819,POINT (37.58956184 55.5956074)
Кировоградская ул.,А864; А147; А118; А831; АН8; А680; А819,POINT (37.59372272 55.59574361)
Кировоградская ул.,А864; А147; А118; А831; АН8; А680; А819,POINT (37.59431385 55.5955707)
"Кировоградская ул., 25 - Российский Государственный Гуманитарный Университет",А682; А147,POINT (37.59749828 55.59826721)
Техникум креативных индустрий,А682; А147,POINT (37.59859273 55.60057411)
Университет спорта и туризма,А682; А147,POINT (37.59976893 55.603052)
"Кировоградская ул., 19",А682; А147; А831,POINT (37.6006785 55.60489526)
Сквер Родная гавань,А682; А147; А831,POINT (37.6017227493 55.6071374815)
Метро Пражская,А674; А682; А796; А296; АП129; А797; А929,POINT (37.60112978 55.61156624)
Чертаново Центральное,А674; А682; А28; АН8,POINT (37.5912788 55.61173832)
ОВД Чертаново Южное,А674; А682; А28; А831; АН8,POINT (37.58842803 55.5998348)
Поликлиника,А674; А682; А28; А831; АН8,POINT (37.58813659 55.59862006)
Чертаново Южное,А674; А682; А28; А831; АН8,POINT (37.58762434 55.59643944)
Дмитровское ш.,А282; А677К; А154; АТ36,POINT (37.56882859 55.84886419)
Россошанская ул.,А831; А675; А680; А828; А797,POINT (37.60583022 55.59564193)
"Россошанский проезд, 3",А831; А675; А680; А828; А797,POINT (37.6082212 55.60049249)
Россошанский пр.,А831; А675; А680; А828; А797,POINT (37.6100442 55.60232431)
"3-й Дорожный пр., 6",А831; А675; А680; А828; А797,POINT (37.61465078 55.60158587)
"3-й Дорожный пр., 10",А831; А675; А680; А828; А797,POINT (37.6194515 55.60083385)
МЦД Покровское,А241; А680,POINT (37.63122496 55.60267013)
Покровский парк,А241; А680,POINT (37.6268494 55.60056459)
"Дорожная ул., 7",А675; А680; А828,POINT (37.62328573 55.60401074)
"Дорожная ул., 5",А675; А680; А828,POINT (37.62414466 55.6058081)
"Улица Подольских Курсантов, 18",А671; А796; А770; А635; А1609; А609; А296; А675; А680; А708; А160,POINT (37.62301209 55.60778514)
17-й автобусный парк,А671; А796; А770; А635; А683; А609; А296; А680; А708; А160,POINT (37.61731573 55.60851545)
Метро Пражская,А796; А770; А635; А1609; А609; А296; А680; А708; А797; А160; А147; А675; А682,POINT (37.60439628 55.61079054)
Варшавское ш.,А671; А796; А770; А635; А296; А609; А675; А680; А708; А160,POINT (37.61095131 55.60997426)
17-й автобусный парк,А671; А796; А770; А635; А296; А609; А675; А680; А708; А160,POINT (37.61464288 55.60938904)
"Дорожная ул., 5",А683; А680; А828,POINT (37.62362178 55.60541806)
"Дорожная ул., 7",А683; А680; А828,POINT (37.62216659 55.60239714)
Покровский парк,А241; А680,POINT (37.62259065 55.60036715)
МЦД Покровское,А241; А680,POINT (37.63067925 55.60299094)
"3-й Дорожный пр., 10",А683; А831; А680; А797,POINT (37.6198472342 55.6009665438)
"3-й Дорожный пр., 6",А683; А831; А680; А797,POINT (37.61420659 55.60184219)
Россошанский пр.,А683; А831; А680; А797,POINT (37.60981146 55.60250937)
Варшавское ш.,А671; А796; А770; А635; А683; А609; А296; А680; А708; А160; А675,POINT (37.61152508 55.60952744)
Писцовая ул.,А319,POINT (37.56754879 55.79804084)
Ул. Юннатов,А319,POINT (37.56381129 55.79681527)
Петровско-Разумовская ал.,А22; А132; А318; А319,POINT (37.55979678 55.7952353)
Ул. Юннатов,А319,POINT (37.56553961 55.79717242)
Ул. Санникова,А803; АН9; А53; А259; А353,POINT (37.59585912 55.85788187)
Холмогорская ул. (пос.),А903; А789; АТ76,POINT (37.7203647 55.8792907)
Ул. Бориса Галушкина,А33; АН6,POINT (37.64738744 55.82593763)
Детская п-ка,А136; А392; А547к; А578к; А536; А544,POINT (37.71344178 55.87160555)
Новый театр,А789; АТ76,POINT (37.71609144 55.87484298)
Ул. Егора Абакумова,А425к; А136; А388к; А451; А317; А551к; А499; А565; А576к; А392; А547к; А578к; А333; А316; А536,POINT (37.72054039 55.87800061)
Метро Отрадное,А124; А380; А571; А23; А71; А238К; А238; АН9; А637,POINT (37.60422526 55.86444104)
Микрорайон 4 Д Отрадного,А124; А571; А880; А803; А238К; АН9; А637,POINT (37.60211365 55.86019783)
Метро Отрадное,А124; А571; А880; А803; А238К; АН9; А637,POINT (37.60469797 55.86284464)
Северный бульв.,А23; А238К; А238,POINT (37.62018489 55.8704379)
"Юрловский пр., 17",А23; А238К; А238,POINT (37.61762063 55.87226526)
Козеево,А23; А238К; А238,POINT (37.61476999 55.87432149)
Универсам,А238К; А238,POINT (37.60882853 55.87510539)
Ул. Римского-Корсакова,А238К; А238,POINT (37.60441172 55.87415833)
Высоковольтный пр.,А238К; А238,POINT (37.59859439 55.8728946)
"Ул. Римского-Корсакова, 6",А238К; А238,POINT (37.5913096429 55.8706153812)
Отрадный пр.,А154; А238; А33,POINT (37.60732466 55.8528844)
"Ул. Римского-Корсакова, 6",А238К; А238,POINT (37.59355581 55.87094212)
Высоковольтный пр.,А238К; А238,POINT (37.59911568 55.87248885)
Улица Римского-Корсакова,А238К; А238,POINT (37.6058137 55.87392066)
Универсам,А238К; А238,POINT (37.60978822 55.87476974)
Козеево,А23; А238К; А238,POINT (37.6146177 55.87388388)
"Юрловский пр., 17",А23; А238К; А238,POINT (37.61778037 55.87172909)
"Ул. Яблочкова, 28",А85; А126; А12; АС532,POINT (37.57977508 55.82393113)
Метро Тимирязевская,А85; А126; А12; АС532,POINT (37.5804711932 55.8200903633)
Метро Тимирязевская,А85; А239; А19; А126; А12; АС532,POINT (37.58123277 55.81906596)
"Улица Фонвизина, 10",А85; А239; А19; А126; А12; АС532,POINT (37.58572992 55.8202454)
Метро Фонвизинская,А85; А239; А19; А126; А12; АС532,POINT (37.58890724 55.82095516)
Метро Фонвизинская (северный вестибюль),А126; А23; А12; АТ29; А238; АС532; АТ3,POINT (37.58596371 55.82417128)
"Ул. Милашенкова, 13",А126; А23; А12; АТ29; А238; АС532; АТ3,POINT (37.58340965 55.82584597)
"Алтуфьевское ш., 42",А23,POINT (37.58689287 55.87339632)
"Россошанский проезд, 3",А683; А831; А680,POINT (37.60723045 55.59931745)
Россошанская ул.,А683; А831; А680,POINT (37.6058007427 55.596297495)
"Варшавское ш., 90",А635; А683; А147; А241; А225; АТ40,POINT (37.61935757 55.64845306)
Сумская ул.,А671; А683; А249; А241; АТ40,POINT (37.61401198 55.62110691)
Институт генетики,А671; А683; А249; А241; АТ40,POINT (37.61151717 55.61590599)
Типография,А671; А683; А249; А241; АТ40,POINT (37.61065518 55.61412948)
"Варшавское ш., 150",А683; А249; АТ40,POINT (37.60454374 55.59991584)
Типография,А671; А683; А249; А241; АТ40,POINT (37.61143248 55.61427814)
Институт генетики,А671; А683; А249; А241; АТ40,POINT (37.61251761 55.61656097)
Сумская ул.,А671; А683; А241; АТ40,POINT (37.61473698 55.62112746)
"Варшавское ш., 150",А249; А241; А797; АТ40,POINT (37.60379737 55.59984873)
Дорожная ул.,А241; А831; А797,POINT (37.6161268 55.59387068)
Детская п-ка,А241; А831; А797,POINT (37.6203799848 55.5979677285)
Детская п-ка,А241; А831; А828; А797,POINT (37.61972562 55.59735081)
Дорожная ул.,А118; А241; А828,POINT (37.61298879 55.59399466)
МФЦ Чертаново Южное,А682; А241,POINT (37.60990004 55.59433415)
МФЦ Чертаново Южное,А118; А241; А828,POINT (37.60768844 55.59481914)
Олонецкая улица,А154; А238; А33,POINT (37.61543247 55.85046716)
Метродепо,А154; А238; А33,POINT (37.6118948 55.85164695)
Метродепо,А154; А238; А33,POINT (37.61261793 55.85105483)
Олонецкая ул.,А134; А628; А154; А238; А33,POINT (37.61753549 55.84955974)
Метро ВДНХ,А576к; А56; А496; А375; А33; АН6; А195,POINT (37.64408375 55.82289717)
Сельскохозяйственная ул.,А603; А33; АН6,POINT (37.65154908 55.83299426)
"Сельскохозяйственная ул., 6",А603; А33; АН6,POINT (37.64793206 55.83415981)
2-й Сельскохозяйственный пр.,А603; А33; АН6,POINT (37.64430881 55.83539466)
Спортивный комплекс,А603; А33; АН6,POINT (37.63875921 55.83699603)
2-й Сельскохозяйственный пр.,А603; А33; АН6,POINT (37.64451742 55.83510809)
Сельскохозяйственная ул.,А603; А33; АН6,POINT (37.65218044 55.83259399)
Центр боевых искусств,А671; А635; А147,POINT (37.61776784 55.63277477)
"Кировоградская ул., 2",А635; А147; А222,POINT (37.6134089 55.63228298)
"Кировоградская ул., 6",А635; А147; А222,POINT (37.61119447 55.62777882)
Метро Южная,А635; А147; А222,POINT (37.6096517379 55.6237748469)
"Кировоградская ул., 6",А635; А147; А222,POINT (37.61191279 55.62842684)
"Кировоградская ул., 4",А635; А147; А222,POINT (37.61338952 55.6315207)
"Кировоградская ул., 2",А671; А635; А147,POINT (37.61520075 55.6329463)
Центр боевых искусств,А635; А147,POINT (37.61816146 55.63244813)
Южный вход ВДНХ,А803; А76; А599,POINT (37.62649472 55.82401223)
Хованская ул.,А803; А76; А599,POINT (37.62210176 55.82423098)
Парк Останкино,А803; А76; А599,POINT (37.61783383 55.82447109)
Центр реабилитации,А803; А76; А599,POINT (37.60951022930314 55.82376510650956)
Телецентр,А803; А76; А599,POINT (37.60464811 55.8237755)
Телецентр,А803; А76; А599,POINT (37.60552713 55.823532)
Центр реабилитации,А803; А76; А599,POINT (37.610319617272886 55.823568973116096)
Парк Останкино,А803; А76; А599,POINT (37.61752717 55.82431264)
Хованская ул.,А803; А76; А599,POINT (37.6228194 55.82397446)
Южный вход ВДНХ,А803; А76; А599,POINT (37.62852095 55.82371711)
Вересковая ул.,А628; А380; А61; А428,POINT (37.64525356 55.86229169)
З-д Стройдеталь,А183; А628; А380; А61; А428,POINT (37.64779456 55.86031177)
"Снежная ул., 14",А628; А428; АН6,POINT (37.64413397 55.85093967)
"Снежная улица, 4",А185; А628; А61; А428; АН6; А195,POINT (37.64038762 55.84795641)
Метро Отрадное,А98; АС6; А628; А571; А803; АН9; А637,POINT (37.60367572 55.86234245)
"Снежная ул., 4",А628; А428; АН6,POINT (37.64204231 55.84894719)
"Снежная ул., 14",А628; А428; АН6,POINT (37.64424319 55.85065163)
Метро Свиблово,А628; А380; А176; А61; А428; АН6,POINT (37.65402077 55.85572055)
Кольская ул.,А628; А380; А61; А428,POINT (37.65359831 55.85737835)
З-д Стройдеталь,А628; А380; А61; А428,POINT (37.64631339 55.86147315)
Вересковая ул.,А628; А380; А61; А428,POINT (37.64529877 55.86284024)
Ясный пр. (выс.),А628; А61; А393,POINT (37.62032261 55.87587535)
"Симферопольский бульв., 20",АН8; А222; Ас977,POINT (37.60520599 55.64940548)
Метро Чертановская,А671; А28; А624; АН8; А168; АП129; А222; А1141; Ас977; А929,POINT (37.60526799 55.639702)
Верхний Чертановский пруд,А671; А28; АН8; АП129; А222; Ас977; А929,POINT (37.60481413 55.63762035)
Сумской пр.,А28; АН8; Ас977,POINT (37.60272273 55.63373541)
Футбольная школа Чертаново,А28; АН8; Ас977,POINT (37.60019541 55.6308235)
Школьный парк,А28; АН8; Ас977,POINT (37.59805605 55.62822151)
К/т Ашхабад,А28; А296; АН8; А222; А797,POINT (37.59517122 55.62396636)
Чертаново Центральное,А28; А296; АН8; АП129; А222; А797; А929,POINT (37.59250513 55.61394591)
К/т Ашхабад,А28; АН8; А222,POINT (37.59565138 55.62288696)
Сумская ул.,А28; АН8; Ас977,POINT (37.59690758 55.62554176)
Школьный парк,А28; АН8; Ас977,POINT (37.59940175 55.62902688)
Футбольная школа Чертаново,А28; АН8; Ас977,POINT (37.60161342 55.631604)
Сумской пр.,А671; А28; АН8; А168; АП129; А222; Ас977; А929,POINT (37.60300553 55.63329536)
Метро Чертановская,А671; А28; АН8; А168; АП129; А222; А1141; Ас977; А929,POINT (37.60590927 55.64017738)
Балаклавский просп.,АН8; А222; Ас977,POINT (37.60583507 55.64380084)
"Симферопольский бульв., 20",АН8; А222; Ас977,POINT (37.6057094692 55.6491357433)
Метро Каховская (вост. вход),АМ68; А222,POINT (37.60182528 55.65343555)
Метро Южная,А674; А674К; А296; А222; А797,POINT (37.60771608 55.62340309)
"Сумская ул., 6",А674; А674К; А296; А222; А797,POINT (37.60271418 55.62419092)
"Дорожная ул., 9",А241; А831; А828; А797,POINT (37.62102075 55.59995896)
Дорожная ул.,А682; А831; А797,POINT (37.61510954 55.59297205)
"Дорожная ул., 32",А682; А831; А797,POINT (37.61442788 55.59152513)
МЦД Красный Строитель,А118; А831; А797,POINT (37.61450531 55.589387)
"Дорожная ул., 32",А118; А831; А797,POINT (37.61474529 55.59159669)
К/т Ашхабад,А674; А674К; А296; А222; А797,POINT (37.59717647 55.62311288)
"Днепропетровская улица, 3",А674; А674К; А296; А222; А797,POINT (37.60253083 55.62229205)
Метро Южная,А674; А674К; А296; А797,POINT (37.60710022 55.62161411)
Метро Южная (выс.),А674К; А770; А462; А296; А675; АП129; А797; А160; А929,POINT (37.60911927 55.62179909)
Заповедная ул.,А61; А428,POINT (37.63891618 55.86876246)
Заповедная ул.,А61; А428,POINT (37.63909526 55.86911322)
Ул. Летчика Бабушкина,А183; АС15,POINT (37.67331009 55.86338951)
Поликлиника,А183; АС15,POINT (37.66676669 55.86408974)
Печорская ул.,А183; А349; АН6; Тм17,POINT (37.66176002 55.86454622)
Радужная ул.,А183; А393; АН6,POINT (37.66061358 55.85983603)
Печорская ул.,А183; АС15,POINT (37.6635907 55.86437131)
Поликлиника,А183; АС15,POINT (37.66707003 55.86379182)
Ул. Летчика Бабушкина,А183; АС15,POINT (37.67294184 55.86321039)
Метро Тимирязевская,А85; А126; А12; АС532,POINT (37.5805699 55.82114964)
"Ул. Яблочкова, 28",А85; А126; А12; АС532,POINT (37.57987115 55.8246499)
Управа района Бутырский,А126; А23; А12; АТ29; А238; АС532; АТ3,POINT (37.58131026 55.82682973)
"Ул. Милашенкова, 13",А126; А23; А12; АТ29; А238; АС532; АТ3,POINT (37.58344227 55.82545734)
Метро Фонвизинская (северный вестибюль),А126; А23; А12; АТ29; А238; АС532; АТ3,POINT (37.58614187 55.82380054)
Метро Фонвизинская,А85; А239; А19; А126; А12; АС532,POINT (37.58851937 55.82131189)
"Ул. Фонвизина, 10",А85; А239; А19; А126; А12; АС532,POINT (37.5849755499 55.8204524644)
Метро Тимирязевская,А85; А126; А23; А12; АС532,POINT (37.58101363 55.81822333)
Туб. диспансер № 18,А85; А126; А23; А12; АС532,POINT (37.584977 55.81499744)
2-й Гончаровский пер.,А85; А126; А23; А12; АС532,POINT (37.59152743 55.81572765)
Ул. Добролюбова,А239; А126; А12; АС532; АТ29,POINT (37.59477233 55.81312017)
Промэнерго,А239; А19; А126; А12; АС532,POINT (37.60762309 55.81014794)
6-й автобусный парк,А19; А12; А126; АС532,POINT (37.6113633103 55.8077310854)
Шереметьевская ул.,А15; А19; А126; А12; А24; А24К; АН6; АС532; АТ13,POINT (37.61533679 55.80626901)
Поликлиника,А15; А19; А126; А12; А24; А24К; АН6; АС532; АТ13,POINT (37.61546203 55.80322417)
1-й Стрелецкий пер.,А12; АС532,POINT (37.6093476173 55.7983493791)
Комбинат твёрдых сплавов,А12; АС532,POINT (37.60294091 55.79816246)
Ул. Двинцев,А12; АС532,POINT (37.59827331 55.79678091)
Б. Кондратьевский пер.,А12; АМ32; АТ18; АТ54,POINT (37.58061178 55.77440084)
Электрический пер.,А116; АТ18; А12; АМ32; АТ54,POINT (37.57811788 55.77356021)
М. Грузинская ул.,АТ18; А12; АМ32; АТ54,POINT (37.57170017 55.77214749)
Б. Тишинский пер.,АТ18; А12; АМ32; АТ54,POINT (37.56622358 55.77024842)
Ул. Климашкина,АТ18; А12; АМ32; АТ54,POINT (37.5645397 55.76683401)
Метро Ул. 1905 года,АТ18; А12; АМ32; АТ54,POINT (37.56357478 55.76364494)
Ул. Трехгорный Вал,АТ18; А12; А152; А366; АМ32; АТ54,POINT (37.5606011 55.75997455)
Ул. Анны Северьяновой,АТ18; А12; А152; А366; АМ32; АТ54,POINT (37.55213345 55.75853807)
Камушки,АС43; А12; АС344,POINT (37.536914043 55.7519129794)
Кольская ул.,А183; А185; А176; АН6,POINT (37.65527622 55.85749232)
Берингов пр.,А183; А185; А176; АН6,POINT (37.66085193 55.85698063)
Берингов пр.,А183; А185; А176; АН6,POINT (37.66053598 55.85680074)
Кольская ул.,А183; А185; А176; АН6,POINT (37.65602636 55.85716718)
Мантулинская ул.,А4; А152; АМ32,POINT (37.55043458 55.75628784)
Ул. Анны Северьяновой,АТ18; А12; А152; А366; АМ32; АТ54,POINT (37.55400182 55.75856154)
Ул. Трехгорный Вал,АТ18; А12; А152; А366; АМ32; АТ54,POINT (37.55919275 55.75887887)
Метро Ул. 1905 года,АТ18; А12; АМ32; АТ54,POINT (37.56418376 55.76430509)
Ул. Климашкина,АТ18; А12; АМ32; АТ54,POINT (37.56541032 55.76854718)
Б. Тишинский пер.,АТ18; А12; АМ32; АТ54,POINT (37.56618862 55.76995229)
М. Грузинская ул.,АТ18; А12; АМ32; АТ54,POINT (37.57247339 55.77213656)
Электрический пер.,А116; АТ18; А12; АМ32; АТ54,POINT (37.57711704 55.77301108)
Б. Кондратьевский пер.,А116; АТ18; А12; А366; АМ32; АТ54,POINT (37.57971434 55.77388876)
Комбинат твёрдых сплавов,А126,POINT (37.60324365 55.79588193)
1-й Стрелецкий пер.,А126,POINT (37.6088051 55.79609721)
6-й пр. Марьиной Рощи,А15; А19; А126; А12; А24; А24К; АН6; АС532; АТ13,POINT (37.61613885 55.79880074)
Поликлиника,А15; А19; А126; А12; А24; А24К; АН6; АС532; АТ13,POINT (37.61596152 55.80410911)
Шереметьевская ул.,А15; А19; А126; А12; А24; А24К; АН6; АС532; АТ13,POINT (37.61581042 55.80619273)
6-й автобусный парк,А19; А12; АС532,POINT (37.612606334 55.807209493)
Промэнерго,А239; А19; А126; А12; АС532,POINT (37.6070953 55.81070581)
Метро Бутырская,А239; А126; А12; АС532; АТ29,POINT (37.60001252676663 55.81381925611701)
Ул. Добролюбова,А239; А126; А12; АС532; АТ29,POINT (37.59522127 55.81336784)
2-й Гончаровский переулок,А85; А126; А23; А12; АС532,POINT (37.5912710997 55.8158580112)
Туб. диспансер № 18,А85; А126; А23; А12; АС532,POINT (37.58401575 55.81506632)
Метро Варшавская (пос.),А635; А683; А147; А241; А225; А163,POINT (37.62076788 55.65435135)
Замоскворецкое метродепо,А635; А683; А147; А241; А225; АТ40,POINT (37.61938513 55.64614555)
"Улица Подольских Курсантов, 18",А671; А796; А770; А635; А683; А1609; А609; А296; А680; А708; А160,POINT (37.62170472 55.60769718)
МЦД Покровское,А671; А796; А770; А635; А1609; А609; А296; А708; А828; А160,POINT (37.63544168 55.60323392)
"Ул. Подольских Курсантов, 22",А671; А770; А635; А609; А296; А221; А708; А828; А160,POINT (37.6364431153 55.5996462471)
Покровское кладб.,А671; А770; А635; А609; А296; А221; А708; А828; А160,POINT (37.63585984 55.59622753)
"Ул. Подольских Курсантов, 26",А671; А770; А635; А1609; А609; А296; А221; А708; А828; А160,POINT (37.63525558 55.59245271)
Ступинский пр.,А671; А770; А635; А1609; А609; А296; А221; А708; А828; А160,POINT (37.63470718 55.58891111)
Харьковская ул.,А635,POINT (37.6395947 55.58689302)
"Востряковский пр., 3",А635,POINT (37.64104033 55.58315972)
Востряковский проезд,А635; А828,POINT (37.6431324539 55.5805208136)
К/т Бирюсинка,А256; А671; А635; А1609; А296; А221; А828,POINT (37.64833146 55.58107784)
Управа района Бирюлёво Западное,А256; А671; А635; А1609; А296; А221; А828,POINT (37.64791486 55.58211853)
"Медынская ул., 12",А256; А671; А635; А1609; А296; А221; А828,POINT (37.6468648 55.5848123)
"Харьковская ул., 3",А635,POINT (37.65332559 55.586535)
ОВД Бирюлёво Западное,А297; А635; А609; А708,POINT (37.65681482 55.58706418)
"Булатниковский пр., 10",А297; А635; А609; А708,POINT (37.65555339 55.58929215)
Ст. Бирюлево-тов.,А297; А635; А609; А708,POINT (37.65238909 55.59235391)
"Медынская улица, 4",А297; А635; А609; А708,POINT (37.6470205 55.59096956)
"Медынская ул., 8",А297; А635; А609; А708,POINT (37.64537439 55.58907045)
Медынская улица,А297; А671; А635; А1609; А296; А221; А828,POINT (37.64574591 55.58678319)
"Медынская ул., 12",А297; А671; А635; А1609; А296; А221; А828,POINT (37.64669631 55.58438499)
Управа района Бирюлёво Западное,А297; А671; А635; А1609; А296; А221; А828,POINT (37.64736129 55.58263447)
К/т Бирюсинка,А635; А828,POINT (37.64742772 55.58044445)
"Востряковский пр., 3",А635,POINT (37.64057509 55.58537204)
Харьковская ул.,А671; А635; А1609; А609; А296; А221; А708; А828; А160,POINT (37.63725752 55.58806764)
Ступинский пр.,А671; А770; А635; А1609; А609; А296; А221; А708; А828; А160,POINT (37.63528842 55.58917091)
"Ул. Подольских Курсантов, 26",А671; А770; А635; А1609; А609; А296; А221; А708; А828; А160,POINT (37.63601531 55.59398346)
Покровское кладб.,А671; А770; А635; А609; А296; А221; А708; А828; А160,POINT (37.63653098 55.59677651)
"Ул. Подольских Курсантов, 22",А671; А770; А635; А609; А296; А221; А708; А828; А160,POINT (37.6370160515 55.6000297331)
МЦД Покровское,А671; А796; А770; А635; А1609; А609; А296; А708; А828; А160,POINT (37.63569418000514 55.603539059778456)
Замоскворецкое метродепо,А635; А683; А147; А241; АП129; А225; А929; АТ40,POINT (37.61996003 55.64639024)
Москворецкий рынок (пос.),АТ8; АТ52,POINT (37.60816327 55.65628877)
"Болотниковская ул., 4",АТ8; АТ52,POINT (37.6137254 55.65614802)
"Болотниковская ул., 1",АТ8; АТ52,POINT (37.61835633 55.65601635)
Болотниковская ул.,АТ8; А142; АП129; А929; АТ40; АТ52,POINT (37.61979733 55.65754082)
Театр Шалом,АТ8; А142; АП129; А929; АТ40; АТ52,POINT (37.61984715 55.66039264)
Симферопольский проезд,АТ40; А142; АТ8,POINT (37.62104973 55.66435053)
Хлебозаводский пр.,АТ8; А142; АТ40; Тм16; Тм3,POINT (37.62533477 55.66939914)
1-й Нагатинский пр.,АН8; АТ8; А751; А142; АТ71; АС8; АО47; АТ40; Тм16; Тм3,POINT (37.62646871 55.67542781)
