StationName,RouteNumbers,geometry
3-й Лихачевский пер.,А90; А72; А139; А565; А801; А621,POINT (37.52077371 55.84940542)
"Онежская ул., 19",А90; А72; А139; А565; А801; А621,POINT (37.5192826 55.85217697)
Солнечногорская ул.,А65; А90; А65К; А565; А801; А621,POINT (37.51306166 55.85651928)
Флотская ул.,А65; А90; А500; А65К; А565; А801,POINT (37.50880466037595 55.85959686101008)
Фестивальная ул.,А233; А90; А594; А801,POINT (37.50413371 55.86302215)
М-н Книги,А233; А90; А594; А801,POINT (37.5002661697 55.8647419791)
Аптека,А233; А90; А594; А801,POINT (37.49690351 55.86590354)
Петрозаводская ул.,А90; А594; А500; А801; АТ58,POINT (37.49047802 55.86710975)
15-й таксомоторный парк,А90; А500; АТ58,POINT (37.4835904385 55.8670126721)
Метро Беломорская,А481; А345к; А90; А173; А199; А851; А338; А400; А270; АТ58,POINT (37.47707357 55.86531154)
"Смольная ул., 45",А345к; А986к; А532к; А90; А173; А481; А199; А851; А338; А270; АТ58,POINT (37.47967752 55.86286328)
Школа им. Марш. Говорова,А345к; А986к; А532к; А90; А173; А481; А199; А851; А338; А270; АТ58,POINT (37.48169028 55.86114044)
Смольная ул.,А233; А345к; А986к; А532к; А90; А173; А481; А199; А200; А857; А188; А745; А801; А284; А451; А851; А338; А270; А673; АТ58,POINT (37.48466984 55.8581037)
"Улица Линии Октябрьской Железной Дороги, 10",А123; А114; А282; А204; АТ19,POINT (37.56315646 55.84366117)
Учебный центр,А665; А200; А571; А194,POINT (37.52245028 55.88566944)
Клязьминская ул.,А672; А194,POINT (37.5257866 55.88619486)
Храм Матроны Московской,А672; А928; А194,POINT (37.52949825 55.88299191)
"Ангарская ул., 49",А672; А928; А194,POINT (37.5289602 55.88104652)
Ангарская ул.,А799; А656; А672; А114; А191; А591; А194; А499; АТ56,POINT (37.52317839 55.87781596)
Протезный з-д,А215К; А656; А672; А92; А191; А591; А194; А215; АТ56,POINT (37.52851198 55.87373993)
Талдомская ул.,А799; А656; А672; А114; А191; А591; А194; А499; АТ56,POINT (37.5259288 55.87563883)
Ангарская ул.,А672; А928; А194,POINT (37.52488287 55.87892817)
"Ангарская ул., 49",А672; А928; А194,POINT (37.52936392 55.88135692)
Храм Матроны Московской,А672; А928; А194,POINT (37.53007852 55.88382937)
Клязьминская ул.,А672; А194,POINT (37.5253591113 55.8865758552)
Учебный центр,А665; А200; А571; А194,POINT (37.52142869 55.88537864)
Школа им. Марш. Говорова,А90; А338; А270,POINT (37.48215583 55.86106097)
"Смольная ул., 45",А90; А338; А270,POINT (37.48021163 55.86265788)
15-й таксомоторный парк,А90; А801; А594; А500; АТ58,POINT (37.48607811 55.86682693)
Петрозаводская ул.,А233; А90; А801; А594,POINT (37.49280228 55.86659387)
Аптека,А233; А90; А801; А594,POINT (37.49827389 55.86519568)
