NameOfStation,Line,IncomingPassengers,geometry
Мичуринский проспект,Солнцевская линия,233833,POINT (37.483989 55.68856)
Мичуринский проспект,Большая кольцевая линия,564377,POINT (37.483989 55.68856)
Говорово,Солнцевская линия,1029159,POINT (37.41877 55.65934)
Солнцево,Солнцевская линия,1372595,POINT (37.391905 55.650061)
Боровское шоссе,Солнцевская линия,473363,POINT (37.371789 55.648399)
Новопеределкино,Солнцевская линия,1291804,POINT (37.356337 55.640613)
Рассказовка,Солнцевская линия,1630094,POINT (37.334769 55.634202)
Планерная,Таганско-Краснопресненская линия,3229194,POINT (37.4367687 55.8595651)
Сходненская,Таганско-Краснопресненская линия,3891501,POINT (37.4386091 55.8514481)
Тушинская,Таганско-Краснопресненская линия,3566799,POINT (37.4360367 55.8256692)
Спартак,Таганско-Краснопресненская линия,334809,POINT (37.43463 55.8174959)
Щукинская,Таганско-Краснопресненская линия,3238926,POINT (37.4629558 55.8089913)
Октябрьское поле,Таганско-Краснопресненская линия,3124439,POINT (37.4922446 55.7939801)
Полежаевская,Таганско-Краснопресненская линия,2449366,POINT (37.5172062 55.7776443)
Беговая,Таганско-Краснопресненская линия,3215721,POINT (37.54459 55.7733859)
Улица 1905 года,Таганско-Краснопресненская линия,3348730,POINT (37.560437 55.765435)
Баррикадная,Таганско-Краснопресненская линия,1625383,POINT (37.581254 55.760671)
Пушкинская,Таганско-Краснопресненская линия,3513306,POINT (37.6038161 55.7654151)
Кузнецкий мост,Таганско-Краснопресненская линия,1859271,POINT (37.624185 55.761541)
Таганская,Таганско-Краснопресненская линия,1073299,POINT (37.6529419 55.7393895)
Таганская,Кольцевая линия,2017704,POINT (37.6529419 55.7393895)
Пролетарская,Таганско-Краснопресненская линия,2437409,POINT (37.664368 55.7317821)
Волгоградский проспект,Таганско-Краснопресненская линия,1684575,POINT (37.685034 55.7256857)
Текстильщики,Таганско-Краснопресненская линия,4370553,POINT (37.729918 55.708138)
Кузьминки,Таганско-Краснопресненская линия,4648778,POINT (37.763751 55.705308)
Рязанский проспект,Таганско-Краснопресненская линия,2557954,POINT (37.7926457 55.7162448)
Выхино,Таганско-Краснопресненская линия,4905281,POINT (37.8191351 55.7158154)
Лермонтовский проспект,Таганско-Краснопресненская линия,1617677,POINT (37.853893 55.7007835)
Жулебино,Таганско-Краснопресненская линия,1984647,POINT (37.8554017 55.6841436)
Котельники,Таганско-Краснопресненская линия,4089284,POINT (37.8563054 55.6753333)
Пионерская,Филёвская линия,468421,POINT (37.467458 55.736059)
Филёвский парк,Филёвская линия,706704,POINT (37.4829878 55.739437)
Багратионовская,Филёвская линия,1225963,POINT (37.497393 55.74366)
Фили,Филёвская линия,1373173,POINT (37.515767 55.74529)
Кутузовская,Филёвская линия,510249,POINT (37.534991 55.739483)
Кутузовская,Московское центральное кольцо,1311755,POINT (37.534991 55.739483)
Студенческая,Филёвская линия,498056,POINT (37.548298 55.738902)
Арбатская,Филёвская линия,451011,POINT (37.6016349 55.7521203)
Арбатская,Арбатско-Покровская линия,2126816,POINT (37.6016349 55.7521203)
Александровский сад,Филёвская линия,1177451,POINT (37.6086853 55.7522884)
Международная,Филёвская линия,522032,POINT (37.533378 55.747892)
Выставочная,Филёвская линия,1302699,POINT (37.543971 55.748092)
Смоленская,Арбатско-Покровская линия,1945687,POINT (37.583806 55.747952)
Смоленская,Филёвская линия,726197,POINT (37.583806 55.747952)
Петровский парк,Большая кольцевая линия,874975,POINT (37.558749 55.792679)
Лефортово,Некрасовская линия,498260,POINT (37.70492863 55.7644639)
Третьяковская,Калининская линия,2132766,POINT (37.625617 55.740683)
Третьяковская,Калужско-Рижская линия,0,POINT (37.625617 55.740683)
Рижская,Калужско-Рижская линия,0,POINT (37.6359244 55.7926231)
Сокольники,Сокольническая линия,2096694,POINT (37.679849 55.789304)
