address_new,quarters_count,geometry
"улица 26-ти Бакинских Комиссаров 10 корп 2, Москва, Россия, 119526",143,POINT (37.48972 55.66057)
"улица 26-ти Бакинских Комиссаров 10 корп 2, Москва, Россия, 119526",1,POINT (37.48972 55.66057)
"улица 26-ти Бакинских Комиссаров 10 корп 6, Москва, Россия, 119526",99,POINT (37.49258 55.66194)
"улица 26-ти Бакинских Комиссаров 12 корп 1, Москва, Россия, 119526",95,POINT (37.48719 55.66077)
"улица 26-ти Бакинских Комиссаров 12 корп 3, Москва, Россия, 119526",251,POINT (37.48859 55.6614)
"улица 26-ти Бакинских Комиссаров 12 корп 4, Москва, Россия, 119526",98,POINT (37.48949 55.6624)
"улица 26-ти Бакинских Комиссаров 12 корп 5, Москва, Россия, 119526",98,POINT (37.48992 55.66191)
"улица 26-ти Бакинских Комиссаров 12 корп 6, Москва, Россия, 119526",136,POINT (37.48886 55.6627)
"улица 26-ти Бакинских Комиссаров 14, Москва, Россия, 119526",242,POINT (37.48721 55.66145)
"проспект 40 лет Октября 3, Москва, Россия, 109387",48,POINT (37.74515 55.68302)
"проспект 40 лет Октября 4 корп 1, Москва, Россия, 109387",108,POINT (37.7441 55.68314)
"проспект 40 лет Октября 4 корп 2, Москва, Россия, 109387",216,POINT (37.74294 55.68274)
"проспект 40 лет Октября 5, Москва, Россия, 109387",80,POINT (37.74524 55.68228)
"проспект 40 лет Октября 6, Москва, Россия, 109387",80,POINT (37.74443 55.6824)
"проспект 40 лет Октября 8, Москва, Россия, 109387",80,POINT (37.7445 55.6814)
"проспект 40 лет Октября 11, Москва, Россия, 109387",57,POINT (37.7457 55.67961)
"проспект 40 лет Октября 12/10, Москва, Россия, 109387",44,POINT (37.74445 55.68033)
"проспект 40 лет Октября 13, Москва, Россия, 109387",110,POINT (37.74663 55.67904)
"проспект 40 лет Октября 14 корп 1, Москва, Россия, 109387",75,POINT (37.74487 55.67951)
"проспект 40 лет Октября 14 корп 2, Москва, Россия, 109387",80,POINT (37.74381 55.67971)
"проспект 40 лет Октября 15, Москва, Россия, 109387",60,POINT (37.74592 55.67831)
"проспект 40 лет Октября 16 корп 1, Москва, Россия, 109387",64,POINT (37.74488 55.67862)
"проспект 40 лет Октября 16 корп 2, Москва, Россия, 109387",80,POINT (37.74373 55.67888)
"проспект 40 лет Октября 18/13, Москва, Россия, 109387",80,POINT (37.74482 55.67791)
"проспект 40 лет Октября 19, Москва, Россия, 109382",108,POINT (37.74629 55.6768)
"проспект 40 лет Октября 20, Москва, Россия, 109382",128,POINT (37.74535 55.67644)
"проспект 40 лет Октября 22, Москва, Россия, 109382",128,POINT (37.74531 55.67544)
