address_new,quarters_count,geometry
"улица Адмирала Макарова 41 корп 2, Москва, Россия, 125212",1,POINT (37.48651 55.83804)
"улица Адмирала Макарова 43, Москва, Россия, 125212",1,POINT (37.4857 55.83841)
"улица Адмирала Макарова 45, Москва, Россия, 125212",1,POINT (37.48578 55.839)
"улица Адмирала Руднева 8, Москва, Россия, 117042",152,POINT (37.52757 55.54228)
"улица Адмирала Руднева 10, Москва, Россия, 117042",140,POINT (37.52571 55.54147)
"улица Адмирала Руднева 12, Москва, Россия, 117042",258,POINT (37.52371 55.54098)
"улица Адмирала Руднева 14, Москва, Россия, 117042",297,POINT (37.52156 55.54041)
"улица Адмирала Руднева 16, Москва, Россия, 117042",140,POINT (37.51943 55.53988)
"улица Адмирала Руднева 18, Москва, Россия, 117042",215,POINT (37.51693 55.53948)
"бульвар Адмирала Ушакова 2, Москва, Россия, 117042",272,POINT (37.55315 55.5486)
"бульвар Адмирала Ушакова 3, Москва, Россия, 117624",255,POINT (37.55439 55.54699)
"бульвар Адмирала Ушакова 5, Москва, Россия, 117624",266,POINT (37.55267 55.54699)
"бульвар Адмирала Ушакова 8, Москва, Россия, 117042",343,POINT (37.55145 55.54819)
"бульвар Адмирала Ушакова 9, Москва, Россия, 117624",426,POINT (37.55194 55.54549)
"бульвар Адмирала Ушакова 11, Москва, Россия, 117624",376,POINT (37.54919 55.54613)
"бульвар Адмирала Ушакова 14, Москва, Россия, 117042",404,POINT (37.54954 55.54874)
"бульвар Адмирала Ушакова 18, Москва, Россия, 117042",331,POINT (37.54877 55.54754)
"Азовская улица 3, Москва, Россия, 117638",46,POINT (37.60571 55.66229)
"Азовская улица 4, Москва, Россия, 117149",239,POINT (37.60194 55.66028)
"Азовская улица 6 корп 1, Москва, Россия, 117149",48,POINT (37.60043 55.65955)
"Азовская улица 6 корп 2, Москва, Россия, 117149",34,POINT (37.60125 55.65952)
"Азовская улица 7 корп 1, Москва, Россия, 117149",72,POINT (37.60256 55.65952)
"Азовская улица 7 корп 2, Москва, Россия, 117149",136,POINT (37.60319 55.65901)
"Азовская улица 8, Москва, Россия, 117149",80,POINT (37.60021 55.6592)
"Азовская улица 9 корп 1, Москва, Россия, 117149",72,POINT (37.60161 55.65874)
"Азовская улица 9 корп 2, Москва, Россия, 117149",257,POINT (37.60213 55.65818)
"Азовская улица 10, Москва, Россия, 117149",80,POINT (37.59977 55.65885)
"Азовская улица 11 корп 1, Москва, Россия, 117149",60,POINT (37.60048 55.65804)
"Азовская улица 12 корп 1, Москва, Россия, 117149",80,POINT (37.59932 55.65849)
"Азовская улица 12 корп 2, Москва, Россия, 117149",80,POINT (37.59805 55.659)
"Азовская улица 14, Москва, Россия, 117149",80,POINT (37.59888 55.65814)
"Азовская улица 16, Москва, Россия, 117149",80,POINT (37.59846 55.65781)
"Азовская улица 21, Москва, Россия, 117452",70,POINT (37.59906 55.6538)
"Азовская улица 23, Москва, Россия, 117452",110,POINT (37.59887 55.65242)
"Азовская улица 24 корп 1, Москва, Россия, 117452",736,POINT (37.59661 55.64815)
"Азовская улица 24 корп 2, Москва, Россия, 117452",1290,POINT (37.59752 55.65065)
"Азовская улица 25 корп 1, Москва, Россия, 117452",113,POINT (37.59887 55.65156)
"Азовская улица 25 корп 2, Москва, Россия, 117452",111,POINT (37.60036 55.65161)
"Азовская улица 25 корп 3, Москва, Россия, 117452",106,POINT (37.60082 55.65119)
"Азовская улица 29 корп 1, Москва, Россия, 117452",120,POINT (37.5998 55.65031)
"Азовская улица 29 корп 2, Москва, Россия, 117452",119,POINT (37.60198 55.65033)
"Азовская улица 33 корп 1, Москва, Россия, 117452",81,POINT (37.59928 55.64862)
"Азовская улица 33 корп 2, Москва, Россия, 117452",80,POINT (37.60035 55.64844)
"Азовская улица 35 корп 1, Москва, Россия, 117452",80,POINT (37.59928 55.64788)
"Азовская улица 35 корп 2, Москва, Россия, 117452",80,POINT (37.60041 55.64784)
"Азовская улица 37 корп 1, Москва, Россия, 117452",81,POINT (37.59932 55.64716)
"Азовская улица 37 корп 2, Москва, Россия, 117452",80,POINT (37.60045 55.6472)
"Азовская улица 37 корп 3, Москва, Россия, 117452",98,POINT (37.6017 55.64708)
"улица Айвазовского 1, Москва, Россия, 117593",266,POINT (37.54341 55.6184)
"улица Айвазовского 2, Москва, Россия, 117593",256,POINT (37.54111 55.61929)
"улица Айвазовского 5 корп 1, Москва, Россия, 117593",861,POINT (37.54207 55.61668)
"улица Айвазовского 6 корп 1, Москва, Россия, 117593",360,POINT (37.53976 55.61703)
"улица Айвазовского 6 корп 1, Москва, Россия, 117593",71,POINT (37.53976 55.61703)
"улица Академика Анохина 2 корп 1, Москва, Россия, 119602",293,POINT (37.4757 55.67025)
"улица Академика Анохина 2 корп 2, Москва, Россия, 119602",291,POINT (37.4751 55.67148)
"улица Академика Анохина 2 корп 3, Москва, Россия, 119602",296,POINT (37.47501 55.67277)
"улица Академика Анохина 2 корп 4, Москва, Россия, 119602",163,POINT (37.47312 55.67187)
"улица Академика Анохина 2 корп 6, Москва, Россия, 119602",218,POINT (37.47351 55.67105)
"улица Академика Анохина 4 корп 1, Москва, Россия, 119602",292,POINT (37.47394 55.66933)
"улица Академика Анохина 4 корп 2, Москва, Россия, 119602",192,POINT (37.4717 55.66971)
"улица Академика Анохина 4 корп 3, Москва, Россия, 119602",224,POINT (37.4713 55.67085)
"улица Академика Анохина 5 корп 1, Москва, Россия, 119571",339,POINT (37.47432 55.6637)
"улица Академика Анохина 5 корп 2, Москва, Россия, 119571",324,POINT (37.47393 55.66236)
"улица Академика Анохина 5 корп 3, Москва, Россия, 119571",343,POINT (37.47611 55.66354)
"улица Академика Анохина 5 корп 4, Москва, Россия, 119571",273,POINT (37.4757 55.66228)
"улица Академика Анохина 6 корп 1, Москва, Россия, 119602",129,POINT (37.47148 55.66842)
"улица Академика Анохина 6 корп 2, Москва, Россия, 119602",258,POINT (37.47052 55.66788)
"улица Академика Анохина 6 корп 3, Москва, Россия, 119602",251,POINT (37.46915 55.6686)
"улица Академика Анохина 6 корп 4, Москва, Россия, 119602",258,POINT (37.47085 55.66915)
"улица Академика Анохина 6 корп 5, Москва, Россия, 119602",195,POINT (37.47289 55.66856)
"улица Академика Анохина 6 корп 5, Москва, Россия, 119602",33,POINT (37.47289 55.66856)
"улица Академика Анохина 7, Москва, Россия, 119571",481,POINT (37.47351 55.66107)
"улица Академика Анохина 9, Москва, Россия, 119571",372,POINT (37.47297 55.65935)
"улица Академика Анохина 9 корп 1, Москва, Россия, 119571",522,POINT (37.4747 55.6592)
"улица Академика Анохина 11, Москва, Россия, 119571",192,POINT (37.47257 55.6579)
"улица Академика Анохина 11 корп 1, Москва, Россия, 119571",242,POINT (37.47425 55.65781)
"улица Академика Анохина 12 корп 1, Москва, Россия, 119602",258,POINT (37.4681 55.66629)
"улица Академика Анохина 12 корп 2, Москва, Россия, 119602",129,POINT (37.46684 55.6659)
"улица Академика Анохина 12 корп 3, Москва, Россия, 119602",254,POINT (37.46584 55.66651)
"улица Академика Анохина 12 корп 4, Москва, Россия, 119602",258,POINT (37.46729 55.66726)
"улица Академика Анохина 13, Москва, Россия, 119571",367,POINT (37.47216 55.65653)
"улица Академика Анохина 19, Москва, Россия, 119602",192,POINT (37.46938 55.64792)
"улица Академика Анохина 19 корп 2, Москва, Россия, 119571",198,POINT (37.46993 55.64803)
"улица Академика Анохина 26 корп 1, Москва, Россия, 119602",128,POINT (37.47232 55.6621)
"улица Академика Анохина 26 корп 2, Москва, Россия, 119602",256,POINT (37.47147 55.66149)
"улица Академика Анохина 26 корп 3, Москва, Россия, 119602",270,POINT (37.47007 55.66229)
"улица Академика Анохина 26 корп 4, Москва, Россия, 119602",272,POINT (37.47204 55.66269)
"улица Академика Анохина 30 корп 1, Москва, Россия, 119602",129,POINT (37.46923 55.6606)
"улица Академика Анохина 30 корп 2, Москва, Россия, 119602",259,POINT (37.46799 55.66005)
"улица Академика Анохина 30 корп 3, Москва, Россия, 119602",258,POINT (37.46691 55.66089)
"улица Академика Анохина 30 корп 4, Москва, Россия, 119602",254,POINT (37.46863 55.66131)
"улица Академика Анохина 34 корп 1, Москва, Россия, 119602",407,POINT (37.46493 55.661)
"улица Академика Анохина 34 корп 2, Москва, Россия, 119602",407,POINT (37.46511 55.65932)
"улица Академика Анохина 38 корп 1, Москва, Россия, 119602",129,POINT (37.47144 55.65862)
"улица Академика Анохина 38 корп 2, Москва, Россия, 119602",259,POINT (37.4702 55.65807)
"улица Академика Анохина 38 корп 3, Москва, Россия, 119602",259,POINT (37.46908 55.65877)
"улица Академика Анохина 38 корп 4, Москва, Россия, 119602",258,POINT (37.47108 55.65918)
"улица Академика Анохина 42 корп 1, Москва, Россия, 119602",112,POINT (37.46822 55.6568)
"улица Академика Анохина 42 корп 2, Москва, Россия, 119602",127,POINT (37.46767 55.65771)
"улица Академика Анохина 44, Москва, Россия, 119602",114,POINT (37.46691 55.65778)
"улица Академика Анохина 46 корп 1, Москва, Россия, 119571",108,POINT (37.47063 55.65565)
"улица Академика Анохина 46 корп 2, Москва, Россия, 119571",109,POINT (37.47031 55.65536)
"улица Академика Анохина 46 корп 3, Москва, Россия, 119571",143,POINT (37.46915 55.65567)
"улица Академика Анохина 50, Москва, Россия, 119571",84,POINT (37.46984 55.65251)
"улица Академика Анохина 54, Москва, Россия, 119571",84,POINT (37.46933 55.65208)
"улица Академика Анохина 56, Москва, Россия, 119571",222,POINT (37.46944 55.65114)
"улица Академика Анохина 58 корп 1, Москва, Россия, 119571",133,POINT (37.46822 55.65068)
"улица Академика Анохина 58 корп 2, Москва, Россия, 119571",126,POINT (37.46794 55.64994)
"улица Академика Анохина 60, Москва, Россия, 119571",228,POINT (37.46889 55.64928)
"улица Академика Анохина 62, Москва, Россия, 119571",81,POINT (37.46841 55.64841)
"улица Академика Анохина 64, Москва, Россия, 119571",84,POINT (37.46853 55.6479)
"улица Академика Анохина 66, Москва, Россия, 119602",161,POINT (37.46815 55.64711)
"улица Академика Арцимовича 2 корп 1, Москва, Россия, 117437",143,POINT (37.51412 55.64552)
"улица Академика Арцимовича 2 корп 2, Москва, Россия, 117437",144,POINT (37.51289 55.64592)
"улица Академика Арцимовича 3 корп 1, Москва, Россия, 117437",298,POINT (37.51674 55.64352)
"улица Академика Арцимовича 3 корп 2, Москва, Россия, 117437",252,POINT (37.51852 55.64263)
"улица Академика Арцимовича 3 корп 3, Москва, Россия, 117437",1,POINT (37.51913 55.64239)
"улица Академика Арцимовича 4, Москва, Россия, 117437",143,POINT (37.51379 55.64463)
"улица Академика Арцимовича 5 корп 1, Москва, Россия, 117437",118,POINT (37.51446 55.64353)
"улица Академика Арцимовича 5 корп 2, Москва, Россия, 117437",119,POINT (37.51502 55.6433)
"улица Академика Арцимовича 5 корп 3, Москва, Россия, 117437",179,POINT (37.51669 55.64289)
"улица Академика Арцимовича 8, Москва, Россия, 117437",344,POINT (37.51122 55.64352)
"улица Академика Арцимовича 9, Москва, Россия, 117437",128,POINT (37.51331 55.64071)
"улица Академика Арцимовича 9 корп 1, Москва, Россия, 117437",140,POINT (37.5135 55.64014)
"улица Академика Арцимовича 11, Москва, Россия, 117437",204,POINT (37.51449 55.64082)
"улица Академика Арцимовича 12 корп 1, Москва, Россия, 117437",111,POINT (37.50929 55.64144)
"улица Академика Арцимовича 12 корп 2, Москва, Россия, 117437",105,POINT (37.50908 55.6419)
"улица Академика Арцимовича 13, Москва, Россия, 117437",160,POINT (37.51283 55.63906)
"улица Академика Арцимовича 14 корп 1, Москва, Россия, 117437",143,POINT (37.50943 55.64052)
"улица Академика Арцимовича 14 корп 2, Москва, Россия, 117437",144,POINT (37.50878 55.63981)
"улица Академика Арцимовича 15, Москва, Россия, 117437",179,POINT (37.51239 55.63807)
"улица Академика Арцимовича 16, Москва, Россия, 117437",144,POINT (37.51077 55.64052)
"улица Академика Арцимовича 17, Москва, Россия, 117437",214,POINT (37.51128 55.63778)
"улица Академика Арцимовича 18, Москва, Россия, 117437",125,POINT (37.51178 55.64011)
"улица Академика Арцимовича 20, Москва, Россия, 117437",251,POINT (37.51095 55.63958)
"улица Академика Бакулева 2, Москва, Россия, 117513",238,POINT (37.48783 55.64412)
"улица Академика Бакулева 4, Москва, Россия, 117513",129,POINT (37.48837 55.64338)
"улица Академика Бакулева 6 стр 2, Москва, Россия, 117513",572,POINT (37.487 55.64262)
"улица Академика Бакулева 8, Москва, Россия, 117513",129,POINT (37.48657 55.64238)
"улица Академика Бакулева 10, Москва, Россия, 117513",577,POINT (37.48421 55.64218)
"улица Академика Бакулева 12, Москва, Россия, 117513",128,POINT (37.48458 55.64146)
"улица Академика Бочвара 2, Москва, Россия, 123182",111,POINT (37.4621 55.80735)
"улица Академика Бочвара 3 корп 1, Москва, Россия, 123182",96,POINT (37.46372 55.80737)
"улица Академика Бочвара 3 корп 2, Москва, Россия, 123182",96,POINT (37.46455 55.80678)
"улица Академика Бочвара 5 корп 1, Москва, Россия, 123182",172,POINT (37.46243 55.80662)
"улица Академика Бочвара 5 корп 2, Москва, Россия, 123182",144,POINT (37.46333 55.80629)
"улица Академика Бочвара 5 корп 3, Москва, Россия, 123182",191,POINT (37.46423 55.80597)
"улица Академика Бочвара 6, Москва, Россия, 123182",76,POINT (37.46063 55.80609)
"улица Академика Бочвара 7 корп 1, Москва, Россия, 123182",97,POINT (37.46219 55.80588)
"улица Академика Бочвара 7 корп 2, Москва, Россия, 123182",94,POINT (37.46214 55.80548)
"улица Академика Бочвара 8, Москва, Россия, 123098",180,POINT (37.45599 55.80362)
"улица Академика Бочвара 9, Москва, Россия, 123098",81,POINT (37.4599 55.80477)
"улица Академика Бочвара 10А, Москва, Россия, 123098",74,POINT (37.4544 55.80334)
"улица Академика Бочвара 10Б, Москва, Россия, 123098",80,POINT (37.45395 55.80423)
"улица Академика Бочвара 12, Москва, Россия, 123098",85,POINT (37.45265 55.8032)
"улица Академика Бочвара 13, Москва, Россия, 123098",81,POINT (37.45894 55.80397)
"улица Академика Бочвара 15, Москва, Россия, 123098",166,POINT (37.45579 55.80304)
"улица Академика Бочвара 17, Москва, Россия, 123098",97,POINT (37.45401 55.80272)
"улица Академика Варги 1, Москва, Россия, 117133",83,POINT (37.48027 55.63073)
"улица Академика Варги 2, Москва, Россия, 117133",576,POINT (37.47679 55.63258)
"улица Академика Варги 3, Москва, Россия, 117133",332,POINT (37.47758 55.62984)
"улица Академика Варги 4, Москва, Россия, 117133",144,POINT (37.47765 55.63108)
"улица Академика Варги 5, Москва, Россия, 117133",358,POINT (37.47526 55.62889)
"улица Академика Варги 14, Москва, Россия, 117133",112,POINT (37.4728 55.63128)
"улица Академика Варги 16, Москва, Россия, 117133",112,POINT (37.47237 55.63165)
"улица Академика Варги 18, Москва, Россия, 117133",112,POINT (37.47194 55.63201)
"улица Академика Варги 22, Москва, Россия, 117133",144,POINT (37.47141 55.63356)
"улица Академика Варги 26, Москва, Россия, 117133",143,POINT (37.47355 55.63443)
"улица Академика Варги 28, Москва, Россия, 117133",576,POINT (37.47493 55.63315)
"улица Академика Варги 36, Москва, Россия, 117133",189,POINT (37.47945 55.63398)
"улица Академика Варги 38, Москва, Россия, 117133",190,POINT (37.47971 55.63312)
"улица Академика Варги 40, Москва, Россия, 117133",191,POINT (37.48002 55.63228)
"улица Академика Виноградова 1, Москва, Россия, 117133",321,POINT (37.4831 55.63185)
"улица Академика Виноградова 1 корп 1, Москва, Россия, 117133",136,POINT (37.48139 55.63267)
"улица Академика Виноградова 3 корп 1, Москва, Россия, 117133",152,POINT (37.48312 55.63357)
"улица Академика Виноградова 4 корп 1, Москва, Россия, 117133",96,POINT (37.48656 55.63221)
"улица Академика Виноградова 4 корп 2, Москва, Россия, 117133",96,POINT (37.48705 55.63188)
"улица Академика Виноградова 4 корп 3, Москва, Россия, 117133",96,POINT (37.48606 55.63189)
"улица Академика Виноградова 5, Москва, Россия, 117133",378,POINT (37.48445 55.63275)
"улица Академика Виноградова 6, Москва, Россия, 117133",288,POINT (37.48769 55.63251)
"улица Академика Виноградова 8, Москва, Россия, 117133",144,POINT (37.48731 55.63334)
"улица Академика Виноградова 9, Москва, Россия, 117133",311,POINT (37.48666 55.63382)
"улица Академика Виноградова 10 корп 1, Москва, Россия, 117133",112,POINT (37.48869 55.63357)
"улица Академика Виноградова 10 корп 2, Москва, Россия, 117133",112,POINT (37.48871 55.63325)
"улица Академика Виноградова 12, Москва, Россия, 117133",112,POINT (37.48856 55.63402)
"улица Академика Волгина 3, Москва, Россия, 117485",143,POINT (37.52152 55.65389)
"улица Академика Волгина 5, Москва, Россия, 117485",123,POINT (37.5205 55.65315)
"улица Академика Волгина 7, Москва, Россия, 117485",145,POINT (37.52045 55.65242)
"улица Академика Волгина 8 корп 2, Москва, Россия, 117485",820,POINT (37.51517 55.6517)
"улица Академика Волгина 8А, Москва, Россия, 117485",449,POINT (37.51711 55.6516)
"улица Академика Волгина 9 корп 1, Москва, Россия, 117485",143,POINT (37.51919 55.65213)
"улица Академика Волгина 9 корп 2, Москва, Россия, 117485",144,POINT (37.52026 55.65174)
"улица Академика Волгина 13, Москва, Россия, 117485",324,POINT (37.51808 55.65064)
"улица Академика Волгина 14 корп 1, Москва, Россия, 117437",130,POINT (37.50479 55.64215)
"улица Академика Волгина 14 корп 2, Москва, Россия, 117437",259,POINT (37.50294 55.64265)
"улица Академика Волгина 14 корп 3, Москва, Россия, 117437",190,POINT (37.50413 55.64159)
"улица Академика Волгина 15 корп 1, Москва, Россия, 117485",143,POINT (37.51672 55.65031)
"улица Академика Волгина 15 корп 2, Москва, Россия, 117485",308,POINT (37.51784 55.64992)
"улица Академика Волгина 15 корп 3, Москва, Россия, 117485",124,POINT (37.51578 55.64954)
"улица Академика Волгина 17, Москва, Россия, 117485",145,POINT (37.51572 55.64885)
"улица Академика Волгина 19, Москва, Россия, 117485",143,POINT (37.51444 55.64858)
"улица Академика Волгина 23 корп 1, Москва, Россия, 117437",517,POINT (37.51115 55.64597)
"улица Академика Волгина 25 корп 1, Москва, Россия, 117437",165,POINT (37.51034 55.64477)
"улица Академика Волгина 25 корп 2, Москва, Россия, 117437",552,POINT (37.51234 55.64473)
"улица Академика Волгина 29 корп 1, Москва, Россия, 117437",296,POINT (37.5079 55.6437)
"улица Академика Волгина 29 корп 2, Москва, Россия, 117437",1,POINT (37.50952 55.64379)
"улица Академика Волгина 31 корп 1, Москва, Россия, 117437",308,POINT (37.50751 55.64283)
"улица Академика Волгина 31 корп 2, Москва, Россия, 117437",143,POINT (37.50874 55.64245)
"улица Академика Волгина 31 корп 3, Москва, Россия, 117437",1,POINT (37.51047 55.64245)
"улица Академика Глушко 6, Москва, Россия, 117216",213,POINT (37.56933 55.56364)
"улица Академика Глушко 8, Москва, Россия, 117216",74,POINT (37.56829 55.56418)
"улица Академика Глушко 10 корп 1, Москва, Россия, 117216",204,POINT (37.56675 55.56528)
"улица Академика Глушко 10 корп 2, Москва, Россия, 117216",174,POINT (37.56771 55.56553)
"улица Академика Глушко 12, Москва, Россия, 117216",43,POINT (37.56504 55.56551)
"улица Академика Глушко 14 корп 1, Москва, Россия, 117216",204,POINT (37.56389 55.56592)
"улица Академика Глушко 14 корп 2, Москва, Россия, 117216",82,POINT (37.56495 55.56618)
"улица Академика Глушко 14 корп 2, Москва, Россия, 117216",92,POINT (37.56495 55.56618)
"улица Академика Глушко 16, Москва, Россия, 117216",43,POINT (37.56256 55.56611)
"улица Академика Зелинского 6, Москва, Россия, 119334",197,POINT (37.57229 55.70512)
"улица Академика Зелинского 38 корп 8, Москва, Россия, 119334",96,POINT (37.57133 55.70562)
"улица Академика Ильюшина 1 корп 1, Москва, Россия, 125319",109,POINT (37.53836 55.80367)
"улица Академика Ильюшина 1 корп 2, Москва, Россия, 125319",181,POINT (37.53846 55.8031)
"улица Академика Ильюшина 3, Москва, Россия, 125319",97,POINT (37.53973 55.80394)
"улица Академика Ильюшина 4 корп 1, Москва, Россия, 125319",72,POINT (37.53954 55.80308)
"улица Академика Ильюшина 4 корп 2, Москва, Россия, 125319",62,POINT (37.5405 55.8027)
"улица Академика Ильюшина 5, Москва, Россия, 125319",111,POINT (37.54086 55.80454)
"улица Академика Ильюшина 6, Москва, Россия, 125319",66,POINT (37.54054 55.80363)
"улица Академика Ильюшина 10, Москва, Россия, 125319",81,POINT (37.54356 55.80497)
"улица Академика Ильюшина 14, Москва, Россия, 125319",61,POINT (37.54635 55.8057)
"улица Академика Ильюшина 16, Москва, Россия, 125319",96,POINT (37.5469 55.80625)
"улица Академика Капицы 4, Москва, Россия, 117647",204,POINT (37.52651 55.63156)
"улица Академика Капицы 6, Москва, Россия, 117647",175,POINT (37.52547 55.63131)
"улица Академика Капицы 18, Москва, Россия, 117647",204,POINT (37.52496 55.6268)
"улица Академика Капицы 20, Москва, Россия, 117647",130,POINT (37.52553 55.62591)
"улица Академика Капицы 22, Москва, Россия, 117647",204,POINT (37.52423 55.62589)
"улица Академика Капицы 26 корп 2, Москва, Россия, 117647",204,POINT (37.52195 55.62664)
"улица Академика Капицы 26 корп 3, Москва, Россия, 117647",205,POINT (37.52203 55.62738)
"улица Академика Капицы 30 корп 1, Москва, Россия, 117647",272,POINT (37.51985 55.62703)
"улица Академика Капицы 30 корп 2, Москва, Россия, 117647",570,POINT (37.52065 55.6277)
"улица Академика Капицы 32 корп 1, Москва, Россия, 117647",203,POINT (37.51841 55.62764)
"улица Академика Капицы 32 корп 2, Москва, Россия, 117647",339,POINT (37.51977 55.62817)
"улица Академика Капицы 34/121, Москва, Россия, 117647",332,POINT (37.51756 55.62852)
"улица Академика Комарова 1, Москва, Россия, 127276",112,POINT (37.59866 55.8297)
"улица Академика Комарова 1А, Москва, Россия, 127276",69,POINT (37.59964 55.82923)
"улица Академика Комарова 1Б, Москва, Россия, 127276",72,POINT (37.59846 55.82921)
"улица Академика Комарова 1В, Москва, Россия, 127276",144,POINT (37.59868 55.8286)
"улица Академика Комарова 3, Москва, Россия, 127276",112,POINT (37.59629 55.82963)
"улица Академика Комарова 3 корп 2, Москва, Россия, 127276",161,POINT (37.59547 55.82815)
"улица Академика Комарова 3А, Москва, Россия, 127276",69,POINT (37.59727 55.82916)
"улица Академика Комарова 3Б, Москва, Россия, 127276",72,POINT (37.59607 55.82912)
"улица Академика Комарова 5, Москва, Россия, 127276",112,POINT (37.59391 55.82956)
"улица Академика Комарова 5А, Москва, Россия, 127276",69,POINT (37.59488 55.82908)
"улица Академика Комарова 5Б, Москва, Россия, 127276",80,POINT (37.59419 55.82863)
"улица Академика Комарова 5В, Москва, Россия, 127276",144,POINT (37.59543 55.82858)
"улица Академика Комарова 6, Москва, Россия, 127276",77,POINT (37.59236 55.83046)
"улица Академика Комарова 7, Москва, Россия, 127276",112,POINT (37.5916 55.82949)
"улица Академика Комарова 7А, Москва, Россия, 127276",65,POINT (37.59287 55.82895)
"улица Академика Комарова 7Б, Москва, Россия, 127276",60,POINT (37.59214 55.8289)
"улица Академика Комарова 7В, Москва, Россия, 127276",60,POINT (37.59139 55.82888)
"улица Академика Комарова 8, Москва, Россия, 127276",60,POINT (37.59159 55.83015)
"улица Академика Комарова 9А, Москва, Россия, 127276",60,POINT (37.59071 55.82858)
"улица Академика Комарова 10, Москва, Россия, 127276",80,POINT (37.59055 55.83039)
"улица Академика Комарова 11, Москва, Россия, 127276",112,POINT (37.5895 55.82943)
"улица Академика Комарова 11А, Москва, Россия, 127276",60,POINT (37.58991 55.82883)
"улица Академика Комарова 11Б, Москва, Россия, 127276",80,POINT (37.58917 55.82879)
"улица Академика Комарова 11В, Москва, Россия, 127276",60,POINT (37.58842 55.82879)
"улица Академика Комарова 11Г, Москва, Россия, 127276",1,POINT (37.58832 55.82954)
"улица Академика Комарова 12, Москва, Россия, 127276",129,POINT (37.58988 55.83035)
"улица Академика Комарова 13, Москва, Россия, 127276",112,POINT (37.58727 55.82935)
"улица Академика Комарова 13А, Москва, Россия, 127276",45,POINT (37.58767 55.82884)
"улица Академика Комарова 14, Москва, Россия, 127276",60,POINT (37.5892 55.83033)
"улица Академика Комарова 14А, Москва, Россия, 127276",72,POINT (37.58887 55.831)
"улица Академика Комарова 16, Москва, Россия, 127276",60,POINT (37.58853 55.83031)
"улица Академика Комарова 18, Москва, Россия, 127276",45,POINT (37.58773 55.83002)
"улица Академика Комарова 18А, Москва, Россия, 127276",72,POINT (37.58768 55.83084)
"улица Академика Комарова 20, Москва, Россия, 127276",60,POINT (37.58691 55.83026)
"улица Академика Комарова 20А, Москва, Россия, 127276",72,POINT (37.5866 55.83085)
"улица Академика Комарова 22, Москва, Россия, 127276",45,POINT (37.58624 55.83016)
"улица Академика Королёва 1, Москва, Россия, 129515",65,POINT (37.63531 55.82058)
"улица Академика Королёва 3, Москва, Россия, 129515",267,POINT (37.63272 55.82088)
"улица Академика Королёва 3А, Москва, Россия, 129515",532,POINT (37.63256 55.82006)
"улица Академика Королёва 4 корп 1, Москва, Россия, 129515",599,POINT (37.62947 55.82317)
"улица Академика Королёва 4 корп 2, Москва, Россия, 129515",596,POINT (37.62631 55.82316)
"улица Академика Королёва 5, Москва, Россия, 129515",270,POINT (37.62833 55.8209)
"улица Академика Королёва 7 корп 1, Москва, Россия, 129515",85,POINT (37.626 55.82045)
"улица Академика Королёва 7 корп 2, Москва, Россия, 129515",60,POINT (37.62596 55.81972)
"улица Академика Королёва 7 корп 3, Москва, Россия, 129515",60,POINT (37.62649 55.81997)
"улица Академика Королёва 7 корп 4, Москва, Россия, 129515",60,POINT (37.62702 55.82024)
"улица Академика Королёва 8 корп 1, Москва, Россия, 129515",602,POINT (37.62462 55.82312)
"улица Академика Королёва 8 корп 2, Москва, Россия, 129515",687,POINT (37.62147 55.8231)
"улица Академика Королёва 9 корп 1, Москва, Россия, 129515",266,POINT (37.62375 55.82093)
"улица Академика Королёва 9 корп 2, Москва, Россия, 129515",289,POINT (37.6245 55.81953)
"улица Академика Королёва 9 корп 3, Москва, Россия, 129515",80,POINT (37.62347 55.81978)
"улица Академика Королёва 9 корп 4, Москва, Россия, 129515",80,POINT (37.62283 55.81982)
"улица Академика Королёва 9 корп 5, Москва, Россия, 129515",90,POINT (37.62481 55.82039)
"улица Академика Королёва 10, Москва, Россия, 129515",356,POINT (37.6199 55.82341)
"улица Академика Королёва 11, Москва, Россия, 129515",96,POINT (37.62157 55.82058)
"улица Академика Королёва 14, Москва, Россия, 127427",68,POINT (37.60166 55.82223)
"улица Академика Королёва 16, Москва, Россия, 127427",80,POINT (37.60123 55.82271)
"улица Академика Королёва 20, Москва, Россия, 127427",80,POINT (37.6005 55.82271)
"улица Академика Королёва 22, Москва, Россия, 127427",80,POINT (37.59983 55.82271)
"улица Академика Королёва 26, Москва, Россия, 127427",80,POINT (37.59916 55.82271)
"улица Академика Королёва 28 корп 1, Москва, Россия, 127427",144,POINT (37.59767 55.82222)
"улица Академика Королёва 28 корп 2, Москва, Россия, 127427",80,POINT (37.59822 55.82313)
"улица Академика Королёва 28 корп 3, Москва, Россия, 127427",80,POINT (37.59755 55.82314)
"улица Академика Королёва 30, Москва, Россия, 127427",80,POINT (37.59675 55.82286)
"улица Академика Королёва 32, Москва, Россия, 127427",244,POINT (37.59584 55.82338)
"бульвар Академика Ландау 1, Москва, Россия, 127495",449,POINT (37.55029 55.92029)
"бульвар Академика Ландау 3, Москва, Россия, 127495",576,POINT (37.55315 55.92043)
"бульвар Академика Ландау 5 корп 1, Москва, Россия, 127495",1,POINT (37.55539 55.92089)
"улица Академика Миллионщикова 7 корп 1, Москва, Россия, 115487",191,POINT (37.65166 55.67198)
"улица Академика Миллионщикова 7 корп 2, Москва, Россия, 115487",286,POINT (37.65365 55.67199)
